year,type,weight_lbs,est_weight,ott,city,state,state_code,latitude,longitude,nearest_station
2013,Giant Pumpkin,1274.0,1237.0,386.0,Granite Bay,California,CA,38.7633333,-121.1627778,USW00023271
2013,Giant Pumpkin,1269.5,1162.0,377.0,Albany,Oregon,OR,44.6366667,-123.1047222,USW00024232
2013,Giant Pumpkin,1266.0,1365.0,401.0,Jefferson,Maine,ME,44.2066667,-69.4530556,USW00014605
2013,Giant Pumpkin,1266.0,1170.0,378.0,Napa,California,CA,38.2972222,-122.2844444,USW00093241
2013,Giant Pumpkin,1264.5,1138.0,374.0,Ipswich,Massachusetts,MA,42.6791667,-70.8416667,USC00193276
2013,Giant Pumpkin,1264.0,1097.0,369.0,Clarence Center,New York,NY,43.0105556,-78.6377778,USW00014733
2013,Giant Pumpkin,1260.0,1158.0,377.0,Granite Bay,California,CA,38.7633333,-121.1627778,USW00023271
2013,Giant Pumpkin,1259.0,1146.0,375.0,Edgar,Wisconsin,WI,44.9272222,-89.9633333,USC00475120
2013,Giant Pumpkin,1255.0,1270.0,390.0,Vancouver,Washington,WA,45.6388889,-122.6602778,USC00458773
2013,Giant Pumpkin,1254.5,1134.0,374.0,Saegertown,Pennsylvania,PA,41.7188889,-80.1477778,USC00368361
2013,Giant Pumpkin,1253.0,1195.0,381.0,Napa,California,CA,38.2972222,-122.2844444,USW00093241
2013,Giant Pumpkin,1252.0,1220.0,384.0,Puyallup,Washington,WA,47.1855556,-122.2916667,USW00024233
2013,Giant Pumpkin,1250.5,1146.0,375.0,Dallas,Oregon,OR,44.9194444,-123.31583329999998,USW00024232
2013,Giant Pumpkin,1242.5,1093.0,369.0,Harrisville,Pennsylvania,PA,41.1366667,-80.0094444,USC00364325
2013,Giant Pumpkin,1242.0,1237.0,386.0,Austin,Minnesota,MN,43.6666667,-92.9744444,USC00210075
2013,Giant Pumpkin,1235.0,1402.0,406.0,Jamestown,New York,NY,42.0969444,-79.2355556,USC00301625
2013,Giant Pumpkin,1232.5,1349.0,399.0,Huntsburg,Ohio,OH,41.5347222,-81.0519444,USC00331458
2013,Giant Pumpkin,1232.0,1372.0,402.0,Washington,Michigan,MI,42.7244444,-83.03611109999999,USW00094847
2013,Giant Pumpkin,1231.0,1138.0,374.0,Richmond,Minnesota,MN,45.4541667,-94.5180556,USW00014926
2013,Giant Pumpkin,1229.0,1154.0,376.0,Memphis,New York,NY,43.0827778,-76.3775,USC00303087
2013,Giant Pumpkin,1225.0,1187.0,380.0,Eyota,Minnesota,MN,43.9883333,-92.2283333,USW00014925
2013,Giant Pumpkin,1217.0,1146.0,375.0,Plainville,Connecticut,CT,41.6744444,-72.85861109999998,USC00060227
2013,Giant Pumpkin,1216.0,1109.0,371.0,Enon Valley,Pennsylvania,PA,40.8547222,-80.4572222,USW00094823
2013,Giant Pumpkin,1213.5,1175.0,379.0,Windsor,New York,NY,42.0758333,-75.6408333,USW00004725
2013,Giant Pumpkin,1212.5,1270.0,390.0,Henniker,New Hampshire,NH,43.1797222,-71.8227778,USC00274234
2013,Giant Pumpkin,1211.5,1093.0,369.0,Quakertown,Pennsylvania,PA,40.4416667,-75.3419444,USW00014737
2013,Giant Pumpkin,1211.5,1093.0,369.0,Austintown,Ohio,OH,41.1016667,-80.76472220000002,USW00014852
2013,Giant Pumpkin,1211.0,1154.0,376.0,Windsor,California,CA,38.5472222,-122.8152778,USC00043578
2013,Giant Pumpkin,1209.5,1283.0,392.0,Spanaway,Washington,WA,47.1041667,-122.4333333,USW00024233
2013,Giant Pumpkin,1203.0,1245.0,387.0,Olympia,Washington,WA,47.03805560000001,-122.8994444,USW00024227
2013,Giant Pumpkin,1203.0,1368.0,402.0,Huntsburg,Ohio,OH,41.5347222,-81.0519444,USC00331458
2013,Giant Pumpkin,1201.0,1304.0,394.0,Stoughton,Wisconsin,WI,42.9169444,-89.2177778,USW00014837
2013,Giant Pumpkin,1197.0,1170.0,378.0,Delevan,New York,NY,42.4891667,-78.48111109999998,USC00301625
2013,Giant Pumpkin,1194.0,1187.0,380.0,Verona,Wisconsin,WI,42.9908333,-89.5330556,USW00014837
2013,Giant Pumpkin,1192.0,1394.0,405.0,Honeydew,California,CA,40.2444444,-124.12166670000002,USW00024213
2013,Giant Pumpkin,1192.0,1296.0,393.0,Huntsburg,Ohio,OH,41.5347222,-81.0519444,USC00331458
2013,Giant Pumpkin,1190.0,1389.0,404.0,Munith,Michigan,MI,42.390555600000006,-84.2505556,USC00200228
2013,Giant Pumpkin,1188.0,1279.0,391.0,Benson,Vermont,VT,43.7069444,-73.3116667,USW00014742
2013,Giant Pumpkin,1185.0,1251.0,388.0,Taylorsville,Utah,UT,40.6677778,-111.93805559999998,USW00024127
2013,Giant Pumpkin,1183.0,1254.0,388.0,Lake City,Minnesota,MN,44.4494444,-92.2666667,USW00014925
2013,Giant Pumpkin,1182.0,1212.0,383.0,Anchorage,Alaska,AK,61.2180556,-149.90027780000003,USW00026491
2013,Giant Pumpkin,1181.5,1105.0,370.0,Clarence Center,New York,NY,43.0105556,-78.6377778,USW00014733
2013,Giant Pumpkin,1177.0,1179.0,379.0,Austintown,Ohio,OH,41.1016667,-80.76472220000002,USW00014852
2013,Giant Pumpkin,1174.0,1085.0,368.0,Napa,California,CA,38.2972222,-122.2844444,USW00093241
2013,Giant Pumpkin,1171.5,1125.0,373.0,Topsfield,Massachusetts,MA,42.6375,-70.95,USC00193276
2013,Giant Pumpkin,1169.0,1330.0,397.0,Stoughton,Wisconsin,WI,42.9169444,-89.2177778,USW00014837
2013,Giant Pumpkin,1169.0,1119.0,372.0,West Union,Ohio,OH,38.7944444,-83.5452778,USC00339220
2013,Giant Pumpkin,1168.0,1368.0,402.0,Shelby,Montana,MT,48.5052778,-111.8561111,USW00024137
2013,Giant Pumpkin,1163.5,1228.0,385.0,Tumwater,Washington,WA,47.0075,-122.90805559999998,USW00024227
2013,Giant Pumpkin,1161.0,1117.0,372.0,Enumclaw,Washington,WA,47.20444439999999,-121.9902778,USS0021B50S
2013,Giant Pumpkin,1159.0,1154.0,376.0,Ipswich,Massachusetts,MA,42.6791667,-70.8416667,USC00193276
2013,Giant Pumpkin,1150.0,1154.0,376.0,Albany,Oregon,OR,44.6366667,-123.1047222,USW00024232
2013,Giant Pumpkin,1143.5,1279.0,391.0,Harrisville,Pennsylvania,PA,41.1366667,-80.0094444,USC00364325
2013,Giant Pumpkin,1143.0,1158.0,377.0,Salem,Oregon,OR,44.9430556,-123.0338889,USW00024232
2013,Giant Pumpkin,1140.5,0.0,0.0,Freeville,New York,NY,42.5138889,-76.3469444,USC00304174
2013,Giant Pumpkin,1139.0,1233.0,386.0,Richville,Minnesota,MN,46.5066667,-95.6252778,USC00214861
2013,Giant Pumpkin,1137.0,1121.0,372.0,Flat Rock,Michigan,MI,42.0963889,-83.2919444,USW00094847
2013,Giant Pumpkin,1136.0,1175.0,379.0,Cheshire,Massachusetts,MA,42.5619444,-73.1633333,USC00190190
2013,Giant Pumpkin,1133.0,1089.0,368.0,Springfield,Vermont,VT,43.2983333,-72.4827778,USC00437054
2013,Giant Pumpkin,1130.0,1162.0,377.0,Wheeling,West Virginia,WV,40.0638889,-80.72111109999999,USC00465963
2013,Giant Pumpkin,1129.0,1129.0,373.0,Gleason,Wisconsin,WI,45.3088889,-89.49638890000001,USC00477113
2013,Giant Pumpkin,1127.5,1270.0,390.0,Menomonee Falls,Wisconsin,WI,43.1788889,-88.1172222,USC00473058
2013,Giant Pumpkin,1124.0,1105.0,370.0,Bessemer,Pennsylvania,PA,40.9747222,-80.4938889,USC00364325
2013,Giant Pumpkin,1117.0,1185.0,380.0,Greenfield,Indiana,IN,39.785,-85.7694444,USW00093819
2013,Giant Pumpkin,1112.5,1117.0,372.0,Delevan,New York,NY,42.4891667,-78.48111109999998,USC00301625
2013,Giant Pumpkin,1112.5,1093.0,369.0,Cecil,Ohio,OH,41.2186111,-84.6022222,USC00336405
2013,Giant Pumpkin,1109.0,1025.0,360.0,Millville,Utah,UT,41.6816667,-111.8222222,USS0011H21S
2013,Giant Pumpkin,1106.0,1179.0,379.0,Leslie,Michigan,MI,42.4513889,-84.4325,USC00203823
2013,Giant Pumpkin,1104.0,1195.0,381.0,Half Moon Bay,California,CA,37.4636111,-122.4275,USW00023272
